"filename", "language", "JavaScript React", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\index.js", "JavaScript", 0, 15, 0, 0, 1, 3, 19
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\user\auth.reducer.js", "JavaScript", 0, 186, 0, 0, 2, 21, 209
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\user\cart.reducer.js", "JavaScript", 0, 219, 0, 0, 1, 21, 241
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\reducers\user\product.reducer.js", "JavaScript", 0, 257, 0, 0, 5, 23, 285
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\admin\auth.saga.js", "JavaScript", 0, 65, 0, 0, 0, 8, 73
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\admin\order.saga.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\admin\product.saga.js", "JavaScript", 0, 37, 0, 0, 0, 6, 43
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\admin\user.saga.js", "JavaScript", 0, 31, 0, 0, 8, 6, 45
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\index.js", "JavaScript", 0, 13, 0, 0, 1, 4, 18
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\user\auth.saga.js", "JavaScript", 0, 389, 0, 0, 0, 20, 409
"d:\CONG_NGHE_WEB\BTProject\front-end\src\redux\saga\user\product.saga.js", "JavaScript", 0, 218, 0, 0, 6, 13, 237
"d:\CONG_NGHE_WEB\BTProject\front-end\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"d:\CONG_NGHE_WEB\BTProject\front-end\src\services\auth-header-admin.js", "JavaScript", 0, 11, 0, 0, 0, 0, 11
"d:\CONG_NGHE_WEB\BTProject\front-end\src\services\auth-header.js", "JavaScript", 0, 11, 0, 0, 0, 0, 11
"d:\CONG_NGHE_WEB\BTProject\front-end\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 4, 1, 6
"d:\CONG_NGHE_WEB\BTProject\front-end\src\utils\history.js", "JavaScript", 0, 4, 0, 0, 0, 5, 9
"Total", "-", 3383, 1832, 1373, 1, 47, 790, 7426
